t,joint1,joint2,joint3,joint4,joint5,joint6
0.0,0.000000,0.433013,0.600000,0.000000,0.000000,0.212132
0.1,0.050739,0.447997,0.598792,0.050637,-0.022198,0.237280
0.2,0.101274,0.461177,0.595173,0.100459,-0.044307,0.258609
0.3,0.151401,0.472500,0.589157,0.148665,-0.066238,0.275778
0.4,0.200918,0.481921,0.580769,0.194479,-0.087902,0.288509
0.5,0.249627,0.489401,0.570043,0.237163,-0.109212,0.296598
0.6,0.297330,0.494911,0.557021,0.276032,-0.130082,0.299915
0.7,0.343836,0.498427,0.541756,0.310459,-0.150428,0.298406
0.8,0.388957,0.499937,0.524310,0.339890,-0.170169,0.292095
0.9,0.432513,0.499434,0.504752,0.363853,-0.189224,0.281085
1.0,0.474326,0.496919,0.483162,0.381961,-0.207518,0.265552
1.1,0.514230,0.492404,0.459627,0.393923,-0.224976,0.245746
1.2,0.552063,0.485906,0.434240,0.399547,-0.241528,0.221985
1.3,0.587673,0.477451,0.407106,0.398742,-0.257107,0.194653
1.4,0.620917,0.467074,0.378332,0.391521,-0.271651,0.164189
1.5,0.651661,0.454816,0.348034,0.378000,-0.285102,0.131083
1.6,0.679780,0.440727,0.316335,0.358398,-0.297404,0.095868
1.7,0.705163,0.424863,0.283363,0.333028,-0.308509,0.059111
1.8,0.727706,0.407288,0.249249,0.302300,-0.318371,0.021402
1.9,0.747318,0.388073,0.214132,0.266708,-0.326952,-0.016651
2.0,0.763922,0.367296,0.178152,0.226824,-0.334216,-0.054437
2.1,0.777449,0.345040,0.141455,0.183291,-0.340134,-0.091346
2.2,0.787846,0.321394,0.104189,0.136808,-0.344683,-0.126785
2.3,0.795071,0.296454,0.066503,0.088124,-0.347843,-0.160185
2.4,0.799094,0.270320,0.028549,0.038022,-0.349604,-0.191007
2.5,0.799899,0.243098,-0.009520,-0.012691,-0.349956,-0.218756
2.6,0.797484,0.214897,-0.047550,-0.063201,-0.348899,-0.242985
2.7,0.791857,0.185831,-0.085389,-0.112693,-0.346438,-0.263304
2.8,0.783042,0.156017,-0.122884,-0.160372,-0.342581,-0.279386
2.9,0.771074,0.125574,-0.159884,-0.205471,-0.337345,-0.290973
3.0,0.756001,0.094626,-0.196241,-0.247264,-0.330750,-0.297878
3.1,0.737883,0.063296,-0.231807,-0.285078,-0.322824,-0.299991
3.2,0.716795,0.031712,-0.266440,-0.318305,-0.313598,-0.297276
3.3,0.692820,0.000000,-0.300000,-0.346410,-0.303109,-0.289778
3.4,0.666056,-0.031712,-0.332352,-0.368942,-0.291399,-0.277617
3.5,0.636609,-0.063296,-0.363366,-0.385537,-0.278517,-0.260989
3.6,0.604600,-0.094626,-0.392916,-0.395929,-0.264512,-0.240162
3.7,0.570155,-0.125574,-0.420885,-0.399950,-0.249443,-0.215471
3.8,0.533415,-0.156017,-0.447159,-0.397535,-0.233369,-0.187313
3.9,0.494527,-0.185831,-0.471632,-0.388725,-0.216356,-0.156140
4.0,0.453648,-0.214897,-0.494206,-0.373659,-0.198471,-0.122456
4.1,0.410942,-0.243098,-0.514790,-0.352581,-0.179787,-0.086801
